iter	Logloss
0	0.6828328705
1	0.6748388672
2	0.6650605774
3	0.6557395935
4	0.646685257
5	0.6366807556
6	0.6277686691
7	0.6193817902
8	0.6112160492
9	0.6030652237
10	0.5952244949
11	0.5873782349
12	0.5808129883
13	0.5724397278
14	0.5650969696
15	0.5577523041
16	0.550110054
17	0.5438912201
18	0.5362574768
19	0.5294100952
20	0.5224888229
21	0.5162201309
22	0.5095789337
23	0.5038405609
24	0.4968598175
25	0.4908837891
26	0.4854406738
27	0.4797100449
28	0.4739662933
29	0.4693030548
30	0.4642873764
31	0.4593198776
32	0.4545186615
33	0.4494657898
34	0.4446087265
35	0.4400801849
36	0.4355728912
37	0.4311748505
38	0.426330719
39	0.4222080994
40	0.4175312424
41	0.4135619354
42	0.4096552277
43	0.4055292511
44	0.402208519
45	0.3983196259
46	0.3948918915
47	0.3910459137
48	0.3874638367
49	0.3843663788
50	0.3815508652
51	0.3794307327
52	0.376073761
53	0.37287117
54	0.3699272919
55	0.3673002625
56	0.364597168
57	0.3625208282
58	0.3594745636
59	0.3569145966
60	0.354132309
61	0.3519705582
62	0.3496726608
63	0.3470192337
64	0.3445415497
65	0.3428039551
66	0.3407971954
67	0.3385076141
68	0.336426239
69	0.3341208267
70	0.3318833923
71	0.3298127747
72	0.328065033
73	0.3257506561
74	0.3237901306
75	0.3218209839
76	0.3198063087
77	0.318007431
78	0.3163081741
79	0.3141645813
80	0.31308815
81	0.3115267754
82	0.3102114105
83	0.3083107948
84	0.3067516899
85	0.3051729965
86	0.3039427376
87	0.3024204826
88	0.3011098289
89	0.2997063828
90	0.2983706856
91	0.2968452454
92	0.2954060745
93	0.2945505524
94	0.2930932045
95	0.2918206406
96	0.2906952286
97	0.2895621109
98	0.28821661
99	0.2870743942
100	0.2860486794
101	0.2850726891
102	0.2838083649
103	0.2826742554
104	0.2814596939
105	0.2801475525
106	0.2792765236
107	0.2785436058
108	0.2774144745
109	0.2765011215
110	0.2757493973
111	0.2749289894
112	0.2740740204
113	0.2731631851
114	0.2722569084
115	0.2713323975
116	0.2705429268
117	0.2696804237
118	0.2688798332
119	0.2681448555
120	0.2671103668
121	0.266345787
122	0.2655366898
123	0.2647253036
124	0.2638273239
125	0.2630074883
126	0.2621478081
127	0.2614575195
128	0.2608638763
129	0.2601958466
130	0.2596234131
131	0.2589512253
132	0.2582854652
133	0.257673645
134	0.2571739769
135	0.256579361
136	0.2557686996
137	0.2551701355
138	0.2545359421
139	0.2539741135
140	0.2533467865
141	0.2529012489
142	0.2523491669
143	0.2517636871
144	0.2511355591
145	0.2505506134
146	0.2500802803
147	0.2494063759
148	0.2487787628
149	0.2481883049
150	0.2476586914
151	0.2471599197
152	0.2466303444
153	0.2459820557
154	0.2454665375
155	0.2449402809
156	0.2445732498
157	0.2440379143
158	0.2433784103
159	0.242925415
160	0.2423278236
161	0.2418854713
162	0.2413980484
163	0.2408653259
164	0.2404862595
165	0.2399009132
166	0.2394812393
167	0.2390688324
168	0.2385926247
169	0.2378982925
170	0.2374059868
171	0.2368494797
172	0.2363738823
173	0.2358885193
174	0.2354740715
175	0.2352812195
176	0.2349571991
177	0.2344987106
178	0.2340138245
179	0.2336083031
180	0.2331863785
181	0.2328150368
182	0.2325460052
183	0.2321977997
184	0.2317603874
185	0.2313645744
186	0.2310016632
187	0.2306049538
188	0.230383606
189	0.2300460052
190	0.229603138
191	0.2290917969
192	0.2286444473
193	0.2282210922
194	0.2278568268
195	0.2273814774
196	0.2270460129
197	0.22675457
198	0.2264003754
199	0.2261158752
200	0.2257349586
201	0.2254299545
202	0.2250989342
203	0.2248189163
204	0.2245549965
205	0.2242562294
206	0.2239621162
207	0.2236742401
208	0.2233997345
209	0.2231406403
210	0.2228103638
211	0.2225320053
212	0.222200737
213	0.2221289444
214	0.2218516541
215	0.2216585922
216	0.2213041115
217	0.2210249329
218	0.2207914925
219	0.2205389977
220	0.2201105499
221	0.2199438477
222	0.2196040726
223	0.2192735291
224	0.2189831924
225	0.2186574173
226	0.2182743263
227	0.2179060745
228	0.2176434326
229	0.2174081039
230	0.2171873093
231	0.2169115639
232	0.2165882111
233	0.2163469315
234	0.2160378075
235	0.2157479668
236	0.2154269409
237	0.2152078629
238	0.2148811722
239	0.2143844223
240	0.2141351509
241	0.2139889908
242	0.2137781143
243	0.2136165237
244	0.2133682823
245	0.2131138229
246	0.2129074478
247	0.2126465607
248	0.2123690033
249	0.2121363449
250	0.2117707443
251	0.2115227699
252	0.2113419151
253	0.2111803055
254	0.2108934784
255	0.2105862808
256	0.210351944
257	0.210114193
258	0.2100089264
259	0.2097282028
260	0.2093412781
261	0.2092162514
262	0.2089383698
263	0.2086432838
264	0.208321476
265	0.2081337738
266	0.2078100586
267	0.2075695038
268	0.2074469948
269	0.20711483
270	0.2069150925
271	0.2067030716
272	0.2064690781
273	0.2061474609
274	0.205941143
275	0.2056691551
276	0.2054135704
277	0.2053078651
278	0.2049763298
279	0.2047776985
280	0.204630661
281	0.204391098
282	0.2043155289
283	0.2041257858
284	0.2039196777
285	0.2036709213
286	0.2034175301
287	0.2032449722
288	0.2029397774
289	0.2026722145
290	0.2025731277
291	0.2024201393
292	0.2020938492
293	0.2018593025
294	0.2015051651
295	0.2012190628
296	0.2009544373
297	0.2007626724
298	0.20048563
299	0.200350647
300	0.2000666809
301	0.199887867
302	0.1997025108
303	0.1994385529
304	0.1992602921
305	0.199136982
306	0.1988960648
