iter	Passed	Remaining
0	2	2984
1	5	2772
2	9	3145
3	12	3175
4	15	3161
5	18	3106
6	20	2892
7	22	2734
8	24	2675
9	26	2605
10	28	2540
11	29	2451
12	31	2390
13	32	2311
14	34	2237
15	35	2174
16	36	2132
17	38	2088
18	40	2071
19	41	2032
20	42	2002
21	44	1968
22	45	1937
23	47	1921
24	48	1892
25	49	1867
26	51	1843
27	52	1817
28	53	1796
29	55	1789
30	57	1785
31	58	1773
32	59	1757
33	61	1741
34	63	1738
35	64	1731
36	66	1725
37	67	1710
38	69	1710
39	71	1713
40	72	1705
41	74	1692
42	75	1682
43	76	1671
44	78	1666
45	80	1660
46	81	1650
47	82	1639
48	84	1636
49	85	1627
50	87	1628
51	89	1627
52	90	1618
53	91	1609
54	93	1601
55	95	1602
56	96	1601
57	98	1592
58	99	1588
59	100	1581
60	102	1578
61	103	1571
62	105	1564
63	106	1557
64	107	1551
65	109	1545
66	110	1541
67	111	1534
68	113	1532
69	114	1526
70	116	1520
71	117	1515
72	118	1510
73	120	1503
74	121	1497
75	122	1492
76	123	1486
77	125	1481
78	127	1481
79	128	1483
80	130	1478
81	131	1472
82	133	1469
83	134	1469
84	136	1467
85	137	1462
86	138	1458
87	140	1453
88	142	1453
89	143	1452
90	145	1449
91	146	1445
92	147	1440
93	149	1438
94	150	1436
95	152	1432
96	153	1428
97	154	1423
98	156	1420
99	157	1420
100	159	1418
101	160	1414
102	161	1410
103	163	1406
104	164	1403
105	166	1402
106	168	1404
107	169	1400
108	170	1397
109	172	1393
110	174	1394
111	175	1393
112	177	1390
113	178	1387
114	179	1383
115	181	1384
116	182	1380
117	184	1376
118	185	1373
119	187	1371
120	188	1369
121	189	1367
122	191	1363
123	192	1359
124	193	1356
125	195	1353
126	196	1350
127	198	1348
128	199	1345
129	200	1342
130	201	1339
131	203	1338
132	205	1338
133	207	1338
134	208	1337
135	209	1333
136	211	1330
137	212	1328
138	214	1326
139	215	1325
140	217	1326
141	219	1323
142	220	1322
143	222	1319
144	223	1317
145	224	1314
146	226	1311
147	227	1308
148	228	1307
149	230	1304
150	231	1301
151	232	1299
152	234	1295
153	235	1292
154	237	1292
155	238	1290
156	239	1287
157	241	1284
158	242	1281
159	243	1278
160	245	1278
161	247	1280
162	248	1278
163	250	1275
164	251	1272
165	253	1271
166	254	1269
167	256	1268
168	257	1266
169	258	1264
170	260	1263
171	261	1261
172	263	1258
173	264	1255
174	265	1253
175	266	1248
176	268	1246
177	269	1244
178	270	1241
179	271	1238
180	273	1236
181	274	1234
182	276	1234
183	278	1234
184	279	1233
185	281	1230
186	282	1228
187	284	1227
188	285	1227
189	287	1226
190	289	1225
191	291	1225
192	293	1226
193	294	1224
194	296	1223
195	297	1222
196	299	1221
197	301	1220
198	302	1218
199	304	1216
200	305	1214
201	306	1212
202	308	1211
203	310	1210
204	311	1207
205	312	1206
206	314	1204
207	316	1204
208	318	1204
209	319	1203
210	321	1201
211	322	1200
212	324	1199
213	325	1195
214	327	1194
215	328	1191
216	329	1189
217	331	1187
218	332	1185
219	333	1183
220	335	1181
221	336	1179
222	337	1177
223	339	1176
224	340	1174
225	342	1171
226	343	1169
227	344	1167
228	345	1164
229	347	1163
230	349	1162
231	350	1160
232	351	1157
233	353	1155
234	354	1153
235	356	1152
236	357	1152
237	359	1150
238	360	1148
239	361	1145
240	363	1145
241	365	1144
242	367	1143
243	368	1141
244	369	1139
245	371	1138
246	372	1136
247	374	1134
248	375	1131
249	376	1129
250	377	1127
251	379	1126
252	381	1125
253	382	1122
254	383	1120
255	384	1118
256	386	1116
257	387	1115
258	389	1113
259	390	1112
260	391	1109
261	393	1108
262	395	1107
263	397	1106
264	398	1105
265	399	1103
266	401	1101
267	402	1100
268	404	1098
269	406	1097
270	407	1096
271	408	1094
272	410	1094
273	412	1092
274	413	1089
275	414	1088
276	416	1086
277	417	1084
278	419	1083
279	420	1081
280	421	1079
281	423	1077
282	424	1075
283	426	1074
284	427	1073
285	429	1071
286	430	1068
287	431	1066
288	432	1064
289	434	1063
290	436	1063
291	437	1061
292	439	1059
293	440	1057
294	441	1055
295	443	1054
296	445	1053
297	446	1052
298	448	1050
299	449	1048
300	451	1047
301	452	1045
302	453	1044
303	455	1042
304	457	1041
305	458	1040
306	460	1038
307	461	1037
308	463	1035
309	464	1034
310	466	1033
311	468	1033
312	470	1032
313	471	1030
314	473	1030
315	475	1029
316	477	1027
317	478	1026
318	480	1024
319	482	1024
320	483	1022
321	484	1020
322	486	1018
323	487	1017
324	488	1015
325	490	1014
326	491	1012
327	493	1010
328	494	1008
329	495	1006
330	497	1005
331	499	1004
332	500	1002
333	501	1000
334	502	998
335	504	996
336	506	995
337	507	994
338	508	991
339	509	989
340	511	988
341	513	988
342	515	986
343	516	984
344	517	982
345	518	980
346	520	978
347	521	977
348	523	975
349	524	973
350	525	972
351	527	970
352	528	968
353	529	967
354	531	965
355	532	963
356	533	961
357	535	959
358	536	957
359	538	956
360	539	954
361	540	953
362	542	951
363	543	949
364	544	947
365	546	946
366	548	945
367	549	943
368	550	941
369	552	940
370	553	939
371	555	938
372	557	936
373	558	935
374	560	933
375	561	932
376	562	930
377	564	928
378	565	926
379	566	924
380	568	923
381	569	921
382	571	920
383	572	918
384	573	916
385	575	914
386	576	913
387	578	911
388	579	910
389	580	908
390	582	906
391	583	904
392	585	903
393	586	902
394	588	901
395	589	899
396	590	897
397	592	896
398	594	895
399	595	893
400	597	892
401	598	890
402	600	889
403	602	888
404	603	886
405	604	884
406	606	882
407	607	881
408	609	880
409	610	878
410	611	876
411	612	874
412	614	873
413	616	872
414	617	870
415	619	869
416	620	867
417	621	865
418	622	863
419	624	862
420	626	861
421	627	859
422	629	858
423	630	856
424	632	855
425	633	853
426	635	852
427	636	850
428	638	849
429	639	847
430	641	846
431	642	844
432	643	842
433	645	841
434	646	839
435	648	838
436	649	837
437	651	835
438	652	833
439	653	831
440	655	830
441	656	829
442	658	827
443	659	826
444	661	824
445	662	822
446	664	822
447	666	820
448	667	819
449	669	817
450	670	815
451	671	814
452	673	813
453	674	811
454	676	809
455	677	808
456	678	806
457	680	804
458	681	803
459	682	801
460	684	799
461	685	798
462	686	796
463	688	795
464	690	794
465	691	792
466	693	790
467	694	789
468	696	788
469	697	787
470	699	785
471	700	783
472	702	782
473	703	781
474	704	778
475	706	777
476	707	775
477	709	774
478	710	773
479	712	771
480	713	769
481	714	768
482	716	766
483	717	764
484	719	763
485	720	762
486	721	760
487	723	758
488	724	757
489	726	755
490	727	754
491	728	752
492	730	750
493	731	749
494	732	747
495	734	746
496	736	745
497	737	743
498	739	741
499	740	740
500	741	738
501	743	737
502	744	735
503	746	734
504	747	733
505	748	731
506	750	729
507	751	728
508	753	726
509	754	725
510	755	723
511	757	721
512	758	720
513	760	718
514	761	717
515	762	715
516	764	713
517	765	712
518	766	710
519	768	709
520	769	707
521	771	706
522	772	704
523	773	702
524	775	701
525	777	700
526	778	698
527	779	697
528	781	695
529	782	694
530	784	693
531	786	691
532	787	690
533	789	688
534	790	687
535	792	685
536	793	684
537	795	682
538	796	681
539	797	679
540	799	677
541	800	676
542	801	674
543	802	672
544	804	671
545	805	669
546	806	668
547	808	666
548	810	665
549	811	664
550	813	662
551	815	661
552	816	660
553	818	658
554	819	657
555	820	655
556	822	654
557	824	653
558	826	651
559	827	650
560	828	648
561	830	647
562	831	645
563	833	644
564	834	642
565	835	640
566	837	639
567	839	638
568	840	636
569	841	635
570	843	633
571	844	632
572	846	630
573	848	629
574	849	627
575	850	626
576	852	624
577	854	623
578	855	622
579	857	620
580	859	619
581	860	617
582	861	616
583	862	614
584	864	613
585	865	611
586	866	609
587	868	608
588	869	607
589	871	605
590	872	603
591	873	602
592	875	600
593	876	599
594	878	597
595	879	596
596	881	594
597	882	593
598	883	591
599	885	590
600	887	588
601	888	587
602	889	585
603	891	584
604	892	582
605	894	581
606	896	580
607	897	578
608	899	577
609	900	575
610	901	574
611	903	572
612	904	571
613	905	569
614	907	567
615	908	566
616	910	564
617	911	563
618	912	561
619	914	560
620	915	558
621	916	557
622	918	555
623	919	554
624	920	552
625	922	550
626	923	549
627	925	547
628	927	546
629	928	545
630	929	543
631	931	542
632	933	540
633	934	539
634	935	537
635	937	536
636	938	534
637	939	533
638	941	532
639	943	530
640	944	529
641	945	527
642	947	525
643	948	524
644	950	522
645	951	521
646	952	519
647	954	518
648	955	516
649	957	515
650	958	513
651	960	512
652	961	510
653	962	509
654	963	507
655	965	506
656	967	505
657	968	503
658	969	501
659	971	500
660	973	499
661	974	497
662	976	496
663	977	494
664	978	493
665	980	491
666	982	490
667	983	488
668	984	487
669	986	485
670	987	484
671	989	482
672	990	481
673	991	479
674	993	478
675	994	476
676	995	475
677	997	473
678	998	472
679	1000	470
680	1001	469
681	1002	467
682	1004	466
683	1006	464
684	1007	463
685	1009	461
686	1010	460
687	1012	458
688	1014	457
689	1016	456
690	1018	455
691	1019	453
692	1021	452
693	1022	450
694	1023	449
695	1025	447
696	1026	446
697	1028	444
698	1030	443
699	1031	442
700	1032	440
701	1034	439
702	1036	437
703	1037	436
704	1039	434
705	1040	433
706	1041	431
707	1043	430
708	1045	428
709	1046	427
710	1048	426
711	1049	424
712	1051	423
713	1052	421
714	1053	420
715	1055	418
716	1056	416
717	1057	415
718	1059	414
719	1061	412
720	1062	411
721	1063	409
722	1065	408
723	1066	406
724	1068	405
725	1069	403
726	1070	402
727	1072	400
728	1073	399
729	1074	397
730	1076	396
731	1078	394
732	1079	393
733	1080	391
734	1082	390
735	1084	388
736	1085	387
737	1087	385
738	1088	384
739	1090	383
740	1092	381
741	1093	380
742	1094	378
743	1095	377
744	1097	375
745	1098	374
746	1100	372
747	1101	371
748	1102	369
749	1104	368
750	1105	366
751	1106	365
752	1108	363
753	1109	362
754	1111	360
755	1112	359
756	1113	357
757	1115	356
758	1117	354
759	1119	353
760	1120	351
761	1122	350
762	1123	349
763	1125	347
764	1126	346
765	1128	344
766	1130	343
767	1131	341
768	1133	340
769	1134	338
770	1136	337
771	1137	335
772	1139	334
773	1140	333
774	1141	331
775	1143	330
776	1144	328
777	1145	326
778	1147	325
779	1149	324
780	1150	322
781	1151	321
782	1153	319
783	1155	318
784	1156	316
785	1158	315
786	1159	313
787	1160	312
788	1162	310
789	1163	309
790	1165	307
791	1167	306
792	1168	305
793	1170	303
794	1171	302
795	1173	300
796	1174	299
797	1175	297
798	1177	296
799	1178	294
800	1180	293
801	1181	291
802	1182	290
803	1183	288
804	1185	287
805	1186	285
806	1187	284
807	1189	282
808	1190	281
809	1191	279
810	1193	278
811	1195	276
812	1196	275
813	1198	273
814	1199	272
815	1200	270
816	1202	269
817	1204	267
818	1206	266
819	1207	265
820	1208	263
821	1210	262
822	1212	260
823	1213	259
824	1214	257
825	1215	256
826	1217	254
827	1218	253
828	1220	251
829	1221	250
830	1223	248
831	1224	247
832	1226	245
833	1228	244
834	1229	242
835	1231	241
836	1232	239
837	1233	238
838	1235	237
839	1237	235
840	1239	234
841	1240	232
842	1242	231
843	1243	229
844	1244	228
845	1246	226
846	1247	225
847	1248	223
848	1250	222
849	1251	220
850	1253	219
851	1254	217
852	1255	216
853	1257	214
854	1258	213
855	1259	211
856	1260	210
857	1262	208
858	1263	207
859	1264	205
860	1266	204
861	1268	203
862	1269	201
863	1270	200
864	1272	198
865	1273	197
866	1275	195
867	1276	194
868	1278	192
869	1279	191
870	1281	189
871	1282	188
872	1284	186
873	1285	185
874	1286	183
875	1287	182
876	1289	180
877	1290	179
878	1292	177
879	1293	176
880	1294	174
881	1296	173
882	1298	172
883	1299	170
884	1300	169
885	1302	167
886	1303	166
887	1304	164
888	1306	163
889	1308	161
890	1309	160
891	1310	158
892	1312	157
893	1313	155
894	1315	154
895	1316	152
896	1318	151
897	1319	149
898	1321	148
899	1322	146
900	1324	145
901	1325	144
902	1327	142
903	1329	141
904	1330	139
905	1332	138
906	1333	136
907	1335	135
908	1337	133
909	1338	132
910	1340	130
911	1341	129
912	1343	128
913	1345	126
914	1347	125
915	1349	123
916	1351	122
917	1353	120
918	1355	119
919	1356	117
920	1358	116
921	1360	115
922	1362	113
923	1363	112
